"Category"	"p"	"Correlation"	"DB"	"Cat"	"Journals"	"Docs"	"Indicator"
"IMMUNOLOGY - ESCI"	0.00996062552136968	0.641401819755737	"ESCI"	"IMMUNOLOGY"	15	214	"Eigenfactor"
"INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI"	0.000254979026530402	0.40290423946272	"ESCI"	"INFORMATION SCIENCE & LIBRARY SCIENCE"	78	2318	"Eigenfactor"
"INSTRUMENTS & INSTRUMENTATION - SCIE"	7.50055908355563e-07	0.572985418614673	"SCIE"	"INSTRUMENTS & INSTRUMENTATION"	64	25945	"Eigenfactor"
"INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE"	0.00863686876527614	0.486653551835253	"SCIE"	"INTEGRATIVE & COMPLEMENTARY MEDICINE"	28	3861	"Eigenfactor"
"INTERNATIONAL RELATIONS - SSCI"	1.52152225723563e-09	0.57100228730325	"SSCI"	"INTERNATIONAL RELATIONS"	95	5400	"Eigenfactor"
"INTEGRATIVE & COMPLEMENTARY MEDICINE - ESCI"	0.0111651140752562	0.727511612001979	"ESCI"	"INTEGRATIVE & COMPLEMENTARY MEDICINE"	11	381	"Eigenfactor"
"INSTRUMENTS & INSTRUMENTATION - ESCI"	0.290136060994798	0.427985276037307	"ESCI"	"INSTRUMENTS & INSTRUMENTATION"	8	386	"Eigenfactor"
"INTERNATIONAL RELATIONS - ESCI"	9.77379675811421e-08	0.660772430791899	"ESCI"	"INTERNATIONAL RELATIONS"	52	1449	"Eigenfactor"
"ASTRONOMY & ASTROPHYSICS - SCIE"	0.0172544102263885	0.287961126736433	"SCIE"	"ASTRONOMY & ASTROPHYSICS"	68	22237	"Eigenfactor"
"BIOCHEMICAL RESEARCH METHODS - SCIE"	1.76175722443867e-19	0.812375642371435	"SCIE"	"BIOCHEMICAL RESEARCH METHODS"	78	14328	"Eigenfactor"
"AUTOMATION & CONTROL SYSTEMS - SCIE"	7.62233585686963e-10	0.681875973344548	"SCIE"	"AUTOMATION & CONTROL SYSTEMS"	63	14773	"Eigenfactor"
"AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE"	0.426972230175415	0.159441971845036	"SCIE"	"AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY"	27	3128	"Eigenfactor"
"BEHAVIORAL SCIENCES - SCIE"	0.00112124743928569	0.43537502397231	"SCIE"	"BEHAVIORAL SCIENCES"	53	6559	"Eigenfactor"
"ART - AHCI"	0.00656260318249111	0.294394520259301	"AHCI"	"ART"	84	1844	"Eigenfactor"
"ASIAN STUDIES - AHCI"	1.0386285424022e-05	0.513472753329245	"AHCI"	"ASIAN STUDIES"	66	1295	"Eigenfactor"
"AUTOMATION & CONTROL SYSTEMS - ESCI"	0.441514742631049	0.234051061865503	"ESCI"	"AUTOMATION & CONTROL SYSTEMS"	13	769	"Eigenfactor"
"BIOCHEMICAL RESEARCH METHODS - ESCI"	0.173904960334358	0.826095039665642	"ESCI"	"BIOCHEMICAL RESEARCH METHODS"	4	80	"Eigenfactor"
"ASTRONOMY & ASTROPHYSICS - ESCI"	0.00367039937091099	0.742194982791952	"ESCI"	"ASTRONOMY & ASTROPHYSICS"	13	385	"Eigenfactor"
"AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - ESCI"	0.552237204914493	-0.30827390783084	"ESCI"	"AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY"	6	244	"Eigenfactor"
"ART - ESCI"	0.0124007169578193	0.32920781905097	"ESCI"	"ART"	57	962	"Eigenfactor"
"ASIAN STUDIES - ESCI"	0.733698843028991	-0.0769150064755277	"ESCI"	"ASIAN STUDIES"	22	379	"Eigenfactor"
"LANGUAGE & LINGUISTICS - AHCI"	6.21499836094574e-23	0.617443532152064	"AHCI"	"LANGUAGE & LINGUISTICS"	205	5520	"Eigenfactor"
"LANGUAGE & LINGUISTICS - ESCI"	9.98475994217542e-05	0.307415501016459	"ESCI"	"LANGUAGE & LINGUISTICS"	155	3702	"Eigenfactor"
"LIMNOLOGY - SCIE"	0.0482080836907877	0.435945594074761	"SCIE"	"LIMNOLOGY"	21	2696	"Eigenfactor"
"LAW - SSCI"	8.19479762038204e-25	0.713765117077561	"SSCI"	"LAW"	151	4523	"Eigenfactor"
"LAW - ESCI"	4.60711726020461e-08	0.334043055152962	"ESCI"	"LAW"	255	6605	"Eigenfactor"
"LINGUISTICS - SSCI"	4.48191242477523e-17	0.556317011160611	"SSCI"	"LINGUISTICS"	193	7450	"Eigenfactor"
"LITERARY REVIEWS - AHCI"	5.61697405186757e-14	0.829270653148685	"AHCI"	"LITERARY REVIEWS"	51	1196	"Eigenfactor"
"LINGUISTICS - ESCI"	7.53163303204677e-06	0.510178858450553	"ESCI"	"LINGUISTICS"	69	1148	"Eigenfactor"
"LITERATURE - AHCI"	5.27663655143353e-10	0.510908459333578	"AHCI"	"LITERATURE"	130	3265	"Eigenfactor"
"LITERARY THEORY & CRITICISM - AHCI"	0.661746452034475	0.0848269038262624	"AHCI"	"LITERARY THEORY & CRITICISM"	29	660	"Eigenfactor"
"LITERATURE, AFRICAN, AUSTRALIAN, CANADIAN - AHCI"	0.897655538973546	0.0804680762226568	"AHCI"	"LITERATURE, AFRICAN, AUSTRALIAN, CANADIAN"	5	148	"Eigenfactor"
"LITERATURE, ROMANCE - AHCI"	0.0200292841303885	0.290158678312937	"AHCI"	"LITERATURE, ROMANCE"	64	1660	"Eigenfactor"
"LITERATURE, BRITISH ISLES - AHCI"	0.0523497957599443	0.439766019844462	"AHCI"	"LITERATURE, BRITISH ISLES"	20	328	"Eigenfactor"
"LITERATURE, AMERICAN - AHCI"	0.0301450665005275	0.52587420964032	"AHCI"	"LITERATURE, AMERICAN"	17	246	"Eigenfactor"
"LITERATURE, SLAVIC - AHCI"	0.665848863718333	0.147182600885511	"AHCI"	"LITERATURE, SLAVIC"	11	403	"Eigenfactor"
"LITERATURE, GERMAN, DUTCH, SCANDINAVIAN - AHCI"	0.451659596095924	0.165062272004017	"AHCI"	"LITERATURE, GERMAN, DUTCH, SCANDINAVIAN"	23	382	"Eigenfactor"
"LITERATURE, ROMANCE - ESCI"	0.042985543383133	0.313819212114295	"ESCI"	"LITERATURE, ROMANCE"	42	915	"Eigenfactor"
"LITERARY THEORY & CRITICISM - ESCI"	0.740822248613064	-0.0729451357369935	"ESCI"	"LITERARY THEORY & CRITICISM"	23	567	"Eigenfactor"
"LITERATURE, AMERICAN - ESCI"	0.516154600083162	0.233507511331786	"ESCI"	"LITERATURE, AMERICAN"	10	114	"Eigenfactor"
"MANAGEMENT - SSCI"	1.44700532440413e-15	0.49798661371183	"SSCI"	"MANAGEMENT"	226	16128	"Eigenfactor"
"MANAGEMENT - ESCI"	1.25980058720067e-14	0.563608847708994	"ESCI"	"MANAGEMENT"	158	5960	"Eigenfactor"
"LOGIC - SCIE"	0.904834200268022	0.0277859480305584	"SCIE"	"LOGIC"	21	881	"Eigenfactor"
"LOGIC - ESCI"	0.562368651708448	-0.437631348291552	"ESCI"	"LOGIC"	4	83	"Eigenfactor"
"MATERIALS SCIENCE, COATINGS & FILMS - SCIE"	0.000837420251376439	0.672528682622696	"SCIE"	"MATERIALS SCIENCE, COATINGS & FILMS"	21	10152	"Eigenfactor"
"MATERIALS SCIENCE, BIOMATERIALS - SCIE"	6.75711341929922e-07	0.687777107457058	"SCIE"	"MATERIALS SCIENCE, BIOMATERIALS"	41	8948	"Eigenfactor"
"MATERIALS SCIENCE, CERAMICS - SCIE"	0.000307120670034178	0.622933962150853	"SCIE"	"MATERIALS SCIENCE, CERAMICS"	29	7855	"Eigenfactor"
"MATERIALS SCIENCE, COMPOSITES - SCIE"	7.89199557834592e-07	0.784235994958201	"SCIE"	"MATERIALS SCIENCE, COMPOSITES"	28	6283	"Eigenfactor"
"MARINE & FRESHWATER BIOLOGY - SCIE"	1.79067532035419e-12	0.608385220997714	"SCIE"	"MARINE & FRESHWATER BIOLOGY"	110	13447	"Eigenfactor"
"MATERIALS SCIENCE, CHARACTERIZATION & TESTING - SCIE"	0.000237074276041791	0.606003695898829	"SCIE"	"MATERIALS SCIENCE, CHARACTERIZATION & TESTING"	32	4886	"Eigenfactor"
"MATERIALS SCIENCE, BIOMATERIALS - ESCI"	0.0819257030287431	0.756178842321449	"ESCI"	"MATERIALS SCIENCE, BIOMATERIALS"	6	247	"Eigenfactor"
"MATERIALS SCIENCE, COMPOSITES - ESCI"	0.0520092344863352	0.875058919517129	"ESCI"	"MATERIALS SCIENCE, COMPOSITES"	5	302	"Eigenfactor"
"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE"	3.87201060634131e-21	0.484051788126555	"SCIE"	"MATERIALS SCIENCE, MULTIDISCIPLINARY"	336	144134	"Eigenfactor"
"MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE"	0.00220685972498682	0.394090672920544	"SCIE"	"MATHEMATICAL & COMPUTATIONAL BIOLOGY"	58	8186	"Eigenfactor"
"MATERIALS SCIENCE, TEXTILES - SCIE"	1.78352053028958e-06	0.797788614312185	"SCIE"	"MATERIALS SCIENCE, TEXTILES"	25	4435	"Eigenfactor"
"MATERIALS SCIENCE, PAPER & WOOD - SCIE"	0.000657553682257953	0.669329647522796	"SCIE"	"MATERIALS SCIENCE, PAPER & WOOD"	22	2575	"Eigenfactor"
"MATHEMATICAL & COMPUTATIONAL BIOLOGY - ESCI"	0.342281712786193	0.359299697520448	"ESCI"	"MATHEMATICAL & COMPUTATIONAL BIOLOGY"	9	399	"Eigenfactor"
"MATERIALS SCIENCE, MULTIDISCIPLINARY - ESCI"	0.0152494334928893	0.348355865251683	"ESCI"	"MATERIALS SCIENCE, MULTIDISCIPLINARY"	48	3367	"Eigenfactor"
"MATHEMATICS - SCIE"	1.40457179791165e-07	0.284863929339774	"SCIE"	"MATHEMATICS"	330	34868	"Eigenfactor"
"MATHEMATICS - ESCI"	0.000911509041669722	0.276301953250283	"ESCI"	"MATHEMATICS"	141	6603	"Eigenfactor"
"MECHANICS - SCIE"	3.6411357681202e-14	0.590931950402145	"SCIE"	"MECHANICS"	136	28593	"Eigenfactor"
"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE"	7.99747147524464e-13	0.620414796302826	"SCIE"	"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS"	108	16147	"Eigenfactor"
"MATHEMATICS, APPLIED - SCIE"	4.65319399556571e-10	0.370754802426199	"SCIE"	"MATHEMATICS, APPLIED"	265	32079	"Eigenfactor"
"MECHANICS - ESCI"	0.000220981921904771	0.735274103577931	"ESCI"	"MECHANICS"	20	725	"Eigenfactor"
"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - ESCI"	0.00279799180904066	0.646183617050684	"ESCI"	"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS"	19	725	"Eigenfactor"
"MATHEMATICS, APPLIED - ESCI"	0.00134529155386533	0.468337116306575	"ESCI"	"MATHEMATICS, APPLIED"	44	1840	"Eigenfactor"
"MEDICINE, GENERAL & INTERNAL - SCIE"	4.11479267452289e-57	0.886529114448303	"SCIE"	"MEDICINE, GENERAL & INTERNAL"	167	32758	"Eigenfactor"
"MEDICAL INFORMATICS - SCIE"	0.29522042807358	0.197611498006056	"SCIE"	"MEDICAL INFORMATICS"	30	6149	"Eigenfactor"
"MEDICAL LABORATORY TECHNOLOGY - SCIE"	2.87286262030406e-07	0.793200594251815	"SCIE"	"MEDICAL LABORATORY TECHNOLOGY"	29	3258	"Eigenfactor"
"MEDICINE, LEGAL - SCIE"	0.0461689716310817	0.489395689419485	"SCIE"	"MEDICINE, LEGAL"	17	2213	"Eigenfactor"
"MEDICINE, GENERAL & INTERNAL - ESCI"	0.00685240527067866	0.221374341886885	"ESCI"	"MEDICINE, GENERAL & INTERNAL"	148	17374	"Eigenfactor"
"MEDICAL ETHICS - SCIE"	0.124399962578232	0.400340511078446	"SCIE"	"MEDICAL ETHICS"	16	1016	"Eigenfactor"
"MEDICAL INFORMATICS - ESCI"	0.968575294444408	0.0246834127384886	"ESCI"	"MEDICAL INFORMATICS"	5	263	"Eigenfactor"
"MEDICAL LABORATORY TECHNOLOGY - ESCI"	0.0335039959952029	0.966496004004797	"ESCI"	"MEDICAL LABORATORY TECHNOLOGY"	4	199	"Eigenfactor"
"MEDICINE, LEGAL - ESCI"	0.101348115483282	0.727385089446645	"ESCI"	"MEDICINE, LEGAL"	6	159	"Eigenfactor"
"BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE"	9.41731764659796e-38	0.655665325082637	"SCIE"	"BIOCHEMISTRY & MOLECULAR BIOLOGY"	296	65058	"Eigenfactor"
"BIOPHYSICS - SCIE"	1.19064986732925e-09	0.642303143452341	"SCIE"	"BIOPHYSICS"	72	12608	"Eigenfactor"
"BIOLOGY - SCIE"	6.90599122095533e-08	0.524273465224197	"SCIE"	"BIOLOGY"	93	15775	"Eigenfactor"
"BIODIVERSITY CONSERVATION - SCIE"	4.8368323048743e-12	0.75094993724225	"SCIE"	"BIODIVERSITY CONSERVATION"	60	6534	"Eigenfactor"
"BIOCHEMISTRY & MOLECULAR BIOLOGY - ESCI"	0.00541617279661004	0.6785754109132	"ESCI"	"BIOCHEMISTRY & MOLECULAR BIOLOGY"	15	462	"Eigenfactor"
"BIOLOGY - ESCI"	0.339172254296688	0.225472355019573	"ESCI"	"BIOLOGY"	20	1512	"Eigenfactor"
"BIODIVERSITY CONSERVATION - ESCI"	0.525635902169595	-0.474364097830405	"ESCI"	"BIODIVERSITY CONSERVATION"	4	184	"Eigenfactor"
"METALLURGY & METALLURGICAL ENGINEERING - SCIE"	6.78306662215326e-07	0.522151217485148	"SCIE"	"METALLURGY & METALLURGICAL ENGINEERING"	80	28123	"Eigenfactor"
"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE"	3.57409574149829e-32	0.7981816258766	"SCIE"	"MEDICINE, RESEARCH & EXPERIMENTAL"	140	32781	"Eigenfactor"
"METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE"	6.28932109497281e-12	0.634957926221655	"SCIE"	"METEOROLOGY & ATMOSPHERIC SCIENCES"	94	16845	"Eigenfactor"
"MEDICINE, RESEARCH & EXPERIMENTAL - ESCI"	0.606658226219304	0.076212835578979	"ESCI"	"MEDICINE, RESEARCH & EXPERIMENTAL"	48	4045	"Eigenfactor"
"METEOROLOGY & ATMOSPHERIC SCIENCES - ESCI"	0.153706508329444	0.43866815916007	"ESCI"	"METEOROLOGY & ATMOSPHERIC SCIENCES"	12	474	"Eigenfactor"
"METALLURGY & METALLURGICAL ENGINEERING - ESCI"	0.378027860200893	0.313318892814325	"ESCI"	"METALLURGY & METALLURGICAL ENGINEERING"	10	715	"Eigenfactor"
"MEDIEVAL & RENAISSANCE STUDIES - AHCI"	0.000137915019764498	0.543414592733062	"AHCI"	"MEDIEVAL & RENAISSANCE STUDIES"	44	739	"Eigenfactor"
"MEDIEVAL & RENAISSANCE STUDIES - ESCI"	0.60899266561072	0.0881981979009037	"ESCI"	"MEDIEVAL & RENAISSANCE STUDIES"	36	557	"Eigenfactor"
"MICROBIOLOGY - SCIE"	2.44931355570062e-11	0.532765261275026	"SCIE"	"MICROBIOLOGY"	136	26479	"Eigenfactor"
"MINING & MINERAL PROCESSING - SCIE"	4.37655764792353e-05	0.770503399012016	"SCIE"	"MINING & MINERAL PROCESSING"	21	4363	"Eigenfactor"
"MINERALOGY - SCIE"	0.000111472525043704	0.647047855850279	"SCIE"	"MINERALOGY"	30	4458	"Eigenfactor"
"MICROSCOPY - SCIE"	0.0454291458427949	0.676420003832513	"SCIE"	"MICROSCOPY"	9	984	"Eigenfactor"
"MICROBIOLOGY - ESCI"	0.956140314101536	0.0155485496965908	"ESCI"	"MICROBIOLOGY"	15	1763	"Eigenfactor"
"MULTIDISCIPLINARY SCIENCES - SCIE"	1.80178868920187e-08	0.605101293358128	"SCIE"	"MULTIDISCIPLINARY SCIENCES"	72	68063	"Eigenfactor"
"NANOSCIENCE & NANOTECHNOLOGY - SCIE"	7.2368397167311e-12	0.601609609232058	"SCIE"	"NANOSCIENCE & NANOTECHNOLOGY"	107	47030	"Eigenfactor"
"NEUROIMAGING - SCIE"	0.00144133575933953	0.764779308420068	"SCIE"	"NEUROIMAGING"	14	3480	"Eigenfactor"
"MULTIDISCIPLINARY SCIENCES - ESCI"	0.000801247306939082	0.435236855725943	"ESCI"	"MULTIDISCIPLINARY SCIENCES"	56	10024	"Eigenfactor"
"MYCOLOGY - SCIE"	0.024777100157245	0.409112750557899	"SCIE"	"MYCOLOGY"	30	2008	"Eigenfactor"
"MUSIC - AHCI"	1.63651989852221e-10	0.646401195648369	"AHCI"	"MUSIC"	78	1624	"Eigenfactor"
"NANOSCIENCE & NANOTECHNOLOGY - ESCI"	0.0776595690982272	0.393419433437461	"ESCI"	"NANOSCIENCE & NANOTECHNOLOGY"	21	808	"Eigenfactor"
"NEUROSCIENCES - SCIE"	5.50077413344437e-30	0.616621912697363	"SCIE"	"NEUROSCIENCES"	273	41031	"Eigenfactor"
"NUCLEAR SCIENCE & TECHNOLOGY - SCIE"	0.00644909140388197	0.458034132356208	"SCIE"	"NUCLEAR SCIENCE & TECHNOLOGY"	34	10213	"Eigenfactor"
"NURSING - SSCI"	1.20950017119745e-12	0.586900564218762	"SSCI"	"NURSING"	122	10334	"Eigenfactor"
"NURSING - SCIE"	1.55964866252411e-12	0.580659482672664	"SCIE"	"NURSING"	124	10423	"Eigenfactor"
"NURSING - ESCI"	1.7881465050335e-06	0.593539473092749	"ESCI"	"NURSING"	55	2862	"Eigenfactor"
"NEUROSCIENCES - ESCI"	0.0209178806041251	0.51230807010029	"ESCI"	"NEUROSCIENCES"	20	771	"Eigenfactor"
"NUCLEAR SCIENCE & TECHNOLOGY - ESCI"	0.828059176417147	0.101808301946577	"ESCI"	"NUCLEAR SCIENCE & TECHNOLOGY"	7	332	"Eigenfactor"
"ONCOLOGY - SCIE"	6.10309621773869e-09	0.36350682815635	"SCIE"	"ONCOLOGY"	241	49344	"Eigenfactor"
"NUTRITION & DIETETICS - SCIE"	9.67286730733741e-07	0.492129421019505	"SCIE"	"NUTRITION & DIETETICS"	89	15269	"Eigenfactor"
"OBSTETRICS & GYNECOLOGY - SCIE"	9.77452687231902e-11	0.636737927337292	"SCIE"	"OBSTETRICS & GYNECOLOGY"	83	14297	"Eigenfactor"
"OCEANOGRAPHY - SCIE"	1.2164039163783e-05	0.517068646504704	"SCIE"	"OCEANOGRAPHY"	64	9197	"Eigenfactor"
"ONCOLOGY - ESCI"	0.216634295782931	0.150641566029664	"ESCI"	"ONCOLOGY"	69	3445	"Eigenfactor"
"OBSTETRICS & GYNECOLOGY - ESCI"	0.00105185305869932	0.510716353830413	"ESCI"	"OBSTETRICS & GYNECOLOGY"	38	1697	"Eigenfactor"
"NUTRITION & DIETETICS - ESCI"	0.0017415607877755	0.700393260916622	"ESCI"	"NUTRITION & DIETETICS"	17	1047	"Eigenfactor"
"OPTICS - SCIE"	3.17436753616962e-07	0.487104237768032	"SCIE"	"OPTICS"	99	29624	"Eigenfactor"
"OPHTHALMOLOGY - SCIE"	2.17571193323754e-07	0.602737128033491	"SCIE"	"OPHTHALMOLOGY"	62	10598	"Eigenfactor"
"OPERATIONS RESEARCH & MANAGEMENT SCIENCE - SCIE"	2.76909845631423e-09	0.593104126135183	"SCIE"	"OPERATIONS RESEARCH & MANAGEMENT SCIENCE"	84	12491	"Eigenfactor"
"ORTHOPEDICS - SCIE"	1.02170756247053e-12	0.687074016714092	"SCIE"	"ORTHOPEDICS"	82	15020	"Eigenfactor"
"OPHTHALMOLOGY - ESCI"	0.0138424085279539	0.467920495616826	"ESCI"	"OPHTHALMOLOGY"	27	1751	"Eigenfactor"
"ORNITHOLOGY - SCIE"	1.77295656702099e-06	0.768673614591408	"SCIE"	"ORNITHOLOGY"	28	1156	"Eigenfactor"
"OPTICS - ESCI"	0.19683959969656	0.340527601325888	"ESCI"	"OPTICS"	16	2773	"Eigenfactor"
"ORTHOPEDICS - ESCI"	0.000215540788187899	0.572183363208891	"ESCI"	"ORTHOPEDICS"	37	2360	"Eigenfactor"
"OPERATIONS RESEARCH & MANAGEMENT SCIENCE - ESCI"	0.000545970888617926	0.783699723425322	"ESCI"	"OPERATIONS RESEARCH & MANAGEMENT SCIENCE"	15	566	"Eigenfactor"
"PERIPHERAL VASCULAR DISEASE - SCIE"	1.40829598262666e-26	0.915350306545457	"SCIE"	"PERIPHERAL VASCULAR DISEASE"	65	9734	"Eigenfactor"
"PEDIATRICS - SCIE"	3.34161607743844e-13	0.584994653392723	"SCIE"	"PEDIATRICS"	129	19455	"Eigenfactor"
"PARASITOLOGY - SCIE"	3.93536577565698e-07	0.717763322989092	"SCIE"	"PARASITOLOGY"	38	6358	"Eigenfactor"
"PATHOLOGY - SCIE"	5.48068327724757e-16	0.765074637511399	"SCIE"	"PATHOLOGY"	77	7551	"Eigenfactor"
"OTORHINOLARYNGOLOGY - SCIE"	0.00343301176254842	0.431705717769054	"SCIE"	"OTORHINOLARYNGOLOGY"	44	7368	"Eigenfactor"
"PALEONTOLOGY - SCIE"	0.00377921561900664	0.387633527271649	"SCIE"	"PALEONTOLOGY"	54	3190	"Eigenfactor"
"PATHOLOGY - ESCI"	0.922003734970842	0.0301917245320884	"ESCI"	"PATHOLOGY"	13	788	"Eigenfactor"
"PERIPHERAL VASCULAR DISEASE - ESCI"	1.55970110064607e-05	0.822273079542367	"ESCI"	"PERIPHERAL VASCULAR DISEASE"	19	560	"Eigenfactor"
"PEDIATRICS - ESCI"	4.58363189057632e-07	0.654217145592623	"ESCI"	"PEDIATRICS"	48	2447	"Eigenfactor"
"PARASITOLOGY - ESCI"	0.182884693563566	0.817115306436433	"ESCI"	"PARASITOLOGY"	4	305	"Eigenfactor"
"OTORHINOLARYNGOLOGY - ESCI"	0.0022096036072591	0.725374450312961	"ESCI"	"OTORHINOLARYNGOLOGY"	15	524	"Eigenfactor"
"PHARMACOLOGY & PHARMACY - SCIE"	5.60664852185368e-23	0.547405388012969	"SCIE"	"PHARMACOLOGY & PHARMACY"	276	45294	"Eigenfactor"
"PHARMACOLOGY & PHARMACY - ESCI"	5.21373204941442e-05	0.433811599497428	"ESCI"	"PHARMACOLOGY & PHARMACY"	81	4361	"Eigenfactor"
"PHYSICS, APPLIED - SCIE"	4.74814009808573e-14	0.550345735173039	"SCIE"	"PHYSICS, APPLIED"	160	84364	"Eigenfactor"
"PHILOSOPHY - AHCI"	1.02530036022429e-21	0.623110889703227	"AHCI"	"PHILOSOPHY"	189	7813	"Eigenfactor"
"PHYSICS, APPLIED - ESCI"	0.326100700377637	0.327141366054378	"ESCI"	"PHYSICS, APPLIED"	11	301	"Eigenfactor"
"PHILOSOPHY - ESCI"	0.0450452187847283	0.177482790520595	"ESCI"	"PHILOSOPHY"	128	2984	"Eigenfactor"
"PHYSICS, MULTIDISCIPLINARY - SCIE"	0.00163010405672538	0.334763175072919	"SCIE"	"PHYSICS, MULTIDISCIPLINARY"	86	24006	"Eigenfactor"
"PHYSICS, CONDENSED MATTER - SCIE"	2.54297256586438e-10	0.672204469742823	"SCIE"	"PHYSICS, CONDENSED MATTER"	69	37873	"Eigenfactor"
"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE"	0.0159699060792064	0.393512249028441	"SCIE"	"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL"	37	18360	"Eigenfactor"
"PHYSICS, PARTICLES & FIELDS - SCIE"	0.257361185151525	0.217362232770004	"SCIE"	"PHYSICS, PARTICLES & FIELDS"	29	13681	"Eigenfactor"
"PHYSICS, MATHEMATICAL - SCIE"	0.000574642590707299	0.449566932805527	"SCIE"	"PHYSICS, MATHEMATICAL"	55	11850	"Eigenfactor"
"PHYSICS, FLUIDS & PLASMAS - SCIE"	0.00993975056614101	0.436045088734967	"SCIE"	"PHYSICS, FLUIDS & PLASMAS"	34	9986	"Eigenfactor"
"PHYSICS, NUCLEAR - SCIE"	0.473104979639648	0.175205795811895	"SCIE"	"PHYSICS, NUCLEAR"	19	5699	"Eigenfactor"
"PHYSIOLOGY - SCIE"	0.000480346025006538	0.379238179338552	"SCIE"	"PHYSIOLOGY"	81	10964	"Eigenfactor"
"PHYSIOLOGY - ESCI"	0.132150855905781	0.764604009486742	"ESCI"	"PHYSIOLOGY"	5	361	"Eigenfactor"
"PHYSICS, MULTIDISCIPLINARY - ESCI"	4.78154108362342e-07	0.821613844616006	"ESCI"	"PHYSICS, MULTIDISCIPLINARY"	25	3293	"Eigenfactor"
"PHYSICS, CONDENSED MATTER - ESCI"	0.707006544434533	0.158918575090056	"ESCI"	"PHYSICS, CONDENSED MATTER"	8	765	"Eigenfactor"
"PHYSICS, FLUIDS & PLASMAS - ESCI"	NA	1	"ESCI"	"PHYSICS, FLUIDS & PLASMAS"	2	323	"Eigenfactor"
"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - ESCI"	0.126558394534447	0.873441605465553	"ESCI"	"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL"	4	178	"Eigenfactor"
"PHYSICS, MATHEMATICAL - ESCI"	0.0646391738271521	0.99484975116711	"ESCI"	"PHYSICS, MATHEMATICAL"	3	75	"Eigenfactor"
"BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE"	4.92108393884434e-15	0.569231572545287	"SCIE"	"BIOTECHNOLOGY & APPLIED MICROBIOLOGY"	159	27735	"Eigenfactor"
"BUSINESS - SSCI"	8.31831086583496e-17	0.607542587634984	"SSCI"	"BUSINESS"	153	12017	"Eigenfactor"
"BIOTECHNOLOGY & APPLIED MICROBIOLOGY - ESCI"	9.09806598389628e-06	0.997536189388237	"ESCI"	"BIOTECHNOLOGY & APPLIED MICROBIOLOGY"	6	1228	"Eigenfactor"
"BUSINESS - ESCI"	9.11695851019919e-12	0.549270395708792	"ESCI"	"BUSINESS"	132	5543	"Eigenfactor"
"PLANT SCIENCES - SCIE"	2.41485218130562e-25	0.61000759649263	"SCIE"	"PLANT SCIENCES"	235	30607	"Eigenfactor"
"POLITICAL SCIENCE - SSCI"	6.7472177978248e-24	0.656075501083681	"SSCI"	"POLITICAL SCIENCE"	183	10478	"Eigenfactor"
"POLITICAL SCIENCE - ESCI"	1.19395242283414e-16	0.682309502904991	"ESCI"	"POLITICAL SCIENCE"	112	3235	"Eigenfactor"
"PLANT SCIENCES - ESCI"	0.0947290763979907	0.431989799202697	"ESCI"	"PLANT SCIENCES"	16	748	"Eigenfactor"
"POLYMER SCIENCE - SCIE"	1.25330399762227e-15	0.720119620651342	"SCIE"	"POLYMER SCIENCE"	90	27673	"Eigenfactor"
"PSYCHIATRY - SCIE"	1.65870872499091e-16	0.598110438208878	"SCIE"	"PSYCHIATRY"	156	20459	"Eigenfactor"
"PSYCHIATRY - SSCI"	3.22788989415919e-14	0.578205390610742	"SSCI"	"PSYCHIATRY"	144	16583	"Eigenfactor"
"PRIMARY HEALTH CARE - SCIE"	7.66130150049029e-05	0.796404632291352	"SCIE"	"PRIMARY HEALTH CARE"	18	1407	"Eigenfactor"
"PSYCHIATRY - ESCI"	0.0469828271814341	0.338089733452297	"ESCI"	"PSYCHIATRY"	35	993	"Eigenfactor"
"PRIMARY HEALTH CARE - ESCI"	0.405658455316343	0.376127227641738	"ESCI"	"PRIMARY HEALTH CARE"	7	541	"Eigenfactor"
"PSYCHOLOGY - SCIE"	2.20082351058082e-06	0.509654843758297	"SCIE"	"PSYCHOLOGY"	77	7959	"Eigenfactor"
"PSYCHOLOGY, APPLIED - SSCI"	2.26812767927415e-07	0.532012103366133	"SSCI"	"PSYCHOLOGY, APPLIED"	83	5902	"Eigenfactor"
