"Category"	"p"	"Correlation"	"DB"	"Cat"	"Journals"	"Docs"	"Indicator"
"FISHERIES - SCIE"	8.13791505149115e-20	0.890994628881166	"SCIE"	"FISHERIES"	55	7731	"2020 JIF"
"FORESTRY - SCIE"	3.31384010956762e-44	0.975041412177972	"SCIE"	"FORESTRY"	67	6940	"2020 JIF"
"FAMILY STUDIES - SSCI"	8.49221169737432e-11	0.787454512194415	"SSCI"	"FAMILY STUDIES"	46	5291	"2020 JIF"
"ETHNIC STUDIES - SSCI"	0.00347868198837816	0.620965954365844	"SSCI"	"ETHNIC STUDIES"	20	1597	"2020 JIF"
"GENETICS & HEREDITY - SCIE"	1.21878055624759e-60	0.888126361674595	"SCIE"	"GENETICS & HEREDITY"	176	22955	"2020 JIF"
"GASTROENTEROLOGY & HEPATOLOGY - SCIE"	2.31005863220779e-51	0.959625697634192	"SCIE"	"GASTROENTEROLOGY & HEPATOLOGY"	92	11647	"2020 JIF"
"GEOCHEMISTRY & GEOPHYSICS - SCIE"	2.59550882866003e-23	0.827915414273573	"SCIE"	"GEOCHEMISTRY & GEOPHYSICS"	88	12928	"2020 JIF"
"GEOGRAPHY - SSCI"	3.11045255574748e-36	0.923251353501003	"SSCI"	"GEOGRAPHY"	85	6759	"2020 JIF"
"GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE"	1.77080771719662e-10	0.790326328994469	"SCIE"	"GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY"	44	25592	"2020 JIF"
"GEOSCIENCES, MULTIDISCIPLINARY - SCIE"	3.71688926574704e-66	0.880648104842249	"SCIE"	"GEOSCIENCES, MULTIDISCIPLINARY"	200	36296	"2020 JIF"
"GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SSCI"	4.21067627866521e-06	0.979166823598547	"SSCI"	"GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY"	9	11022	"2020 JIF"
"GEOLOGY - SCIE"	5.68920509882502e-28	0.965630790649817	"SCIE"	"GEOLOGY"	47	3435	"2020 JIF"
"GERONTOLOGY - SSCI"	2.57854361246965e-21	0.96486747501043	"SSCI"	"GERONTOLOGY"	36	5141	"2020 JIF"
"GERIATRICS & GERONTOLOGY - SCIE"	8.42939284077702e-21	0.907053889966858	"SCIE"	"GERIATRICS & GERONTOLOGY"	53	9066	"2020 JIF"
"GEOGRAPHY, PHYSICAL - SCIE"	8.60614396847726e-29	0.962295615922696	"SCIE"	"GEOGRAPHY, PHYSICAL"	50	8584	"2020 JIF"
"HEMATOLOGY - SCIE"	1.75653274038491e-40	0.954079972395113	"SCIE"	"HEMATOLOGY"	76	10820	"2020 JIF"
"HEALTH CARE SCIENCES & SERVICES - SCIE"	8.05725751199392e-49	0.93423363334339	"SCIE"	"HEALTH CARE SCIENCES & SERVICES"	107	16553	"2020 JIF"
"HEALTH POLICY & SERVICES - SSCI"	3.97728020874954e-25	0.845244582178841	"SSCI"	"HEALTH POLICY & SERVICES"	88	9202	"2020 JIF"
"HISTORY & PHILOSOPHY OF SCIENCE - SSCI"	1.04662463289789e-13	0.838355738305055	"SSCI"	"HISTORY & PHILOSOPHY OF SCIENCE"	48	2292	"2020 JIF"
"HISTORY & PHILOSOPHY OF SCIENCE - SCIE"	1.45177779110091e-18	0.849177910175804	"SCIE"	"HISTORY & PHILOSOPHY OF SCIENCE"	63	2911	"2020 JIF"
"HISTORY - SSCI"	1.11214036833372e-25	0.819541622015763	"SSCI"	"HISTORY"	101	3035	"2020 JIF"
"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI"	6.31996175857254e-30	0.949741505406812	"SSCI"	"HOSPITALITY, LEISURE, SPORT & TOURISM"	58	5580	"2020 JIF"
"HORTICULTURE - SCIE"	8.34142763747373e-21	0.959312364350213	"SCIE"	"HORTICULTURE"	37	3924	"2020 JIF"
"HISTORY OF SOCIAL SCIENCES - SSCI"	3.24852441612449e-07	0.750222611838503	"SSCI"	"HISTORY OF SOCIAL SCIENCES"	34	1483	"2020 JIF"
"IMMUNOLOGY - SCIE"	4.07581011172186e-61	0.904542566020818	"SCIE"	"IMMUNOLOGY"	162	25260	"2020 JIF"
"INFECTIOUS DISEASES - SCIE"	5.06792939780472e-50	0.955473132037139	"SCIE"	"INFECTIOUS DISEASES"	93	17001	"2020 JIF"
"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE"	2.63056167008509e-20	0.97943898070804	"SCIE"	"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"	29	9914	"2020 JIF"
"INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI"	4.29638704775254e-32	0.902426335246411	"SSCI"	"INFORMATION SCIENCE & LIBRARY SCIENCE"	85	5429	"2020 JIF"
"INDUSTRIAL RELATIONS & LABOR - SSCI"	3.54845578217994e-10	0.871836476891467	"SSCI"	"INDUSTRIAL RELATIONS & LABOR"	30	1534	"2020 JIF"
"INSTRUMENTS & INSTRUMENTATION - SCIE"	1.83682993090979e-26	0.917186021333276	"SCIE"	"INSTRUMENTS & INSTRUMENTATION"	64	25945	"2020 JIF"
"INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE"	8.6201183563323e-15	0.951184593382374	"SCIE"	"INTEGRATIVE & COMPLEMENTARY MEDICINE"	28	3861	"2020 JIF"
"INTERNATIONAL RELATIONS - SSCI"	1.83360706776809e-37	0.910621080943008	"SSCI"	"INTERNATIONAL RELATIONS"	95	5400	"2020 JIF"
"ASTRONOMY & ASTROPHYSICS - SCIE"	2.30663892586811e-28	0.918908963591875	"SCIE"	"ASTRONOMY & ASTROPHYSICS"	68	22237	"2020 JIF"
"BIOCHEMICAL RESEARCH METHODS - SCIE"	5.10221031586813e-51	0.974404659696371	"SCIE"	"BIOCHEMICAL RESEARCH METHODS"	78	14328	"2020 JIF"
"AUTOMATION & CONTROL SYSTEMS - SCIE"	9.15840891090816e-24	0.900726172796276	"SCIE"	"AUTOMATION & CONTROL SYSTEMS"	63	14773	"2020 JIF"
"AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE"	1.67765936503501e-10	0.90000774019546	"SCIE"	"AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY"	27	3128	"2020 JIF"
"BEHAVIORAL SCIENCES - SCIE"	1.58644241731088e-11	0.770024223129976	"SCIE"	"BEHAVIORAL SCIENCES"	53	6559	"2020 JIF"
"LIMNOLOGY - SCIE"	6.40507424919924e-14	0.975295580090465	"SCIE"	"LIMNOLOGY"	21	2696	"2020 JIF"
"LAW - SSCI"	2.24118544326736e-38	0.82269769422446	"SSCI"	"LAW"	151	4523	"2020 JIF"
