"Journal name"	"Category"	"Total Citations"	"2020 JIF"	"2020 JCI"	"5 Year JIF"	"Immediacy Index"	"Eigenfactor"	"Article Influence Score"	"Total Articles"	"DB"	"Cat"
17194	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	778	1.944	0.81	2.328	0.311	0.001	0.574	41	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18664	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	736	NA	1.18	NA	0.414	0.001	0.667	55	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18665	"SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI"	734	3.985	1.58	4.957	0.978	0.001	0.843	43	"SSCI"	"SOCIAL SCIENCES, MATHEMATICAL METHODS"
18666	"SOCIAL WORK - SSCI"	727	1.219	0.55	1.503	0.375	0.001	0.354	48	"SSCI"	"SOCIAL WORK"
12376	"SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI"	725	1.877	0.75	1.933	0.22	0.002	1.084	41	"SSCI"	"SOCIAL SCIENCES, MATHEMATICAL METHODS"
18667	"SOCIAL SCIENCES, MATHEMATICAL METHODS - ESCI"	720	NA	0.51	NA	0.286	0.001	0.654	28	"ESCI"	"SOCIAL SCIENCES, MATHEMATICAL METHODS"
6231	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	706	2.226	1.1	2.622	0.371	0.001	1.071	34	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
2338	"SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI"	702	0.938	0.31	1.268	0.484	0.001	0.487	31	"SSCI"	"SOCIAL SCIENCES, MATHEMATICAL METHODS"
18668	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	698	1.635	0.81	1.759	0.306	0.001	0.511	48	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
6782	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	692	3.054	1.3	2.81	1.571	0.001	0.776	35	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
